Name;EDoID;isED;Age;Gender;isM;Nationality;Current_Com_Roles;Historical_Com_Roles;Number_Committees;Recent_Compensation;Recent_Comp_Mil;Recent_Comp_Thous;Company;Sector;Industry
Paul W Jones;ID;0;66;M;1;American;5;14;5;;;;INTEGRYS ENERGY GROUP (WPS Resources Corp prior to 02/2007) (Quoted);Utilities;Gas Utilities
Holly Keller Koeppel;ID;0;56;F;0;American;4;5;8;66;0,066;66;INTEGRYS ENERGY GROUP (WPS Resources Corp prior to 02/2007) (Quoted);Utilities;Gas Utilities
Michael E Lavin;ID;0;68;M;1;American;2;11;3;;;;INTEGRYS ENERGY GROUP (WPS Resources Corp prior to 02/2007) (Quoted);Utilities;Gas Utilities
William (Bill) F Protz Jr;ID;0;69;M;1;American;2;7;1;99;0,099;99;INTEGRYS ENERGY GROUP (WPS Resources Corp prior to 02/2007) (Quoted);Utilities;Gas Utilities
Richard J Harshman;ED;1;58;M;1;;2;2;2;8,499;8,499;8499;ALLEGHENY TECHNOLOGIES INC (Quoted);Industrial Goods;Metal Fabrication
Carolyn  Corvi;ID;0;64;F;0;;8;11;4;44;0,044;44;ALLEGHENY TECHNOLOGIES INC (Quoted);Industrial Goods;Metal Fabrication
Diane Claypoole Creel;ID;0;65;F;0;American;8;25;5;157;0,157;157;ALLEGHENY TECHNOLOGIES INC (Quoted);Industrial Goods;Metal Fabrication
James C Diggs;ID;0;66;M;1;American;5;8;3;152;0,152;152;ALLEGHENY TECHNOLOGIES INC (Quoted);Industrial Goods;Metal Fabrication
J Brett Harvey;ID;0;63;M;1;American;3;10;4;130;0,13;130;ALLEGHENY TECHNOLOGIES INC (Quoted);Industrial Goods;Metal Fabrication
Barbara S Jeremiah;ID;0;62;F;0;American;3;14;2;;;;ALLEGHENY TECHNOLOGIES INC (Quoted);Industrial Goods;Metal Fabrication
Michael (Mike) J Joyce;ID;0;73;M;1;;5;13;2;146;0,146;146;ALLEGHENY TECHNOLOGIES INC (Quoted);Industrial Goods;Metal Fabrication
John R Pipski;ID;0;66;M;1;;2;4;1;134;0,134;134;ALLEGHENY TECHNOLOGIES INC (Quoted);Industrial Goods;Metal Fabrication
James (Jim) Edward Rohr;ID;0;65;M;1;American;8;22;8;;;;ALLEGHENY TECHNOLOGIES INC (Quoted);Industrial Goods;Metal Fabrication
Louis J Thomas;ID;0;72;M;1;;2;2;1;134;0,134;134;ALLEGHENY TECHNOLOGIES INC (Quoted);Industrial Goods;Metal Fabrication
John D Turner;ID;0;68;M;1;American;4;16;2;;;;ALLEGHENY TECHNOLOGIES INC (Quoted);Industrial Goods;Metal Fabrication
James P Gorman;ED;1;55;M;1;American;0;1;3;6,641;6,641;6641;MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002) (Quoted);Financial;Investment Brokerage - National
Roy J Bostock;ID;0;73;M;1;American;2;11;2;254;0,254;254;MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002) (Quoted);Financial;Investment Brokerage - National
Erskine Boyce Bowles;ID;0;68;M;1;American;4;17;5;;;;MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002) (Quoted);Financial;Investment Brokerage - National
Sir Howard John Davies;ID;0;63;M;1;British;7;9;8;254;0,254;254;MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002) (Quoted);Financial;Investment Brokerage - National
Thomas (Tom) Henry Glocer;ID;0;54;M;1;American;2;8;8;;;;MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002) (Quoted);Financial;Investment Brokerage - National
Robert (Bob) H Herz;ID;0;60;M;1;American;4;4;6;201;0,201;201;MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002) (Quoted);Financial;Investment Brokerage - National
Charles (Bob) Robert Kidder;ID;0;69;M;1;American;4;12;4;;;;MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002) (Quoted);Financial;Investment Brokerage - National
Doctor Klaus-Christian  Kleinfeld;ID;0;56;M;1;German;3;8;4;;;;MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002) (Quoted);Financial;Investment Brokerage - National
Donald (Don) T Nicolaisen;ID;0;68;M;1;American;9;16;6;;;;MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002) (Quoted);Financial;Investment Brokerage - National
Huntham S Olayan;ID;0;61;F;0;American;1;3;5;254;0,254;254;MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002) (Quoted);Financial;Investment Brokerage - National
Doctor James (Jim) W Owens;ID;0;68;M;1;American;4;8;6;;;;MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002) (Quoted);Financial;Investment Brokerage - National
Professor Ormond Griffith Sexton;ID;0;70;M;1;American;3;4;4;250;0,25;250;MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002) (Quoted);Financial;Investment Brokerage - National
Ryosuke (Roy)  Tamakoshi;ID;0;66;M;1;;1;1;6;;;;MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002) (Quoted);Financial;Investment Brokerage - National
Masaaki (Masa)  Tanaka;ID;0;60;M;1;;1;2;2;;;;MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002) (Quoted);Financial;Investment Brokerage - National
Professor, Dr Laura D'Andrea Tyson;ID;0;65;F;0;American;5;23;8;;;;MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002) (Quoted);Financial;Investment Brokerage - National
Rayford (Ray)  Wilkins Jr;ID;0;62;M;1;American;1;12;3;;;;MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002) (Quoted);Financial;Investment Brokerage - National
Mark T Bertolini;ED;1;57;M;1;American;2;3;4;;;;AETNA INC (Quoted);Healthcare;Health Care Plans
Fernando G Aguirre;ID;0;57;M;1;Mexican;5;13;3;;;;AETNA INC (Quoted);Healthcare;Health Care Plans
Frank M Clark Jr;ID;0;68;M;1;;4;7;3;170;0,17;170;AETNA INC (Quoted);Healthcare;Health Care Plans
Betsy Zubrow Cohen;ID;0;72;F;0;American;3;13;4;171;0,171;171;AETNA INC (Quoted);Healthcare;Health Care Plans
Doctor Molly Joel Coye;ID;0;67;F;0;American;3;5;5;168;0,168;168;AETNA INC (Quoted);Healthcare;Health Care Plans
Roger N Farah;ID;0;61;M;1;;4;8;6;;;;AETNA INC (Quoted);Healthcare;Health Care Plans
The Hon. Barbara Hackman Franklin;ID;0;73;F;0;American;2;31;4;171;0,171;171;AETNA INC (Quoted);Healthcare;Health Care Plans
Professor Jeffrey Edwin Garten;ID;0;67;M;1;American;3;11;8;;;;AETNA INC (Quoted);Healthcare;Health Care Plans
Ellen Marie Hancock;ID;0;70;F;0;American;6;14;3;170;0,17;170;AETNA INC (Quoted);Healthcare;Health Care Plans
Richard (Dick) J Harrington;ID;0;68;M;1;American;4;6;7;168;0,168;168;AETNA INC (Quoted);Healthcare;Health Care Plans
Edward (Ed) J Ludwig;ID;0;63;M;1;;6;9;5;183;0,183;183;AETNA INC (Quoted);Healthcare;Health Care Plans
Doctor Joseph Paul Newhouse;ID;0;72;M;1;American;2;6;8;170;0,17;170;AETNA INC (Quoted);Healthcare;Health Care Plans
William (Bill) Clay Ford Jr;ED;1;56;M;1;American;3;9;4;6,729;6,729;6729;FORD MOTOR CO (Quoted);Consumer Goods;Textile - Apparel Footwear & Accessories
Alan Roger Mulally;ED;1;68;M;1;American;1;1;2;9,148;9,148;9148;FORD MOTOR CO (Quoted);Consumer Goods;Textile - Apparel Footwear & Accessories
Stephen G Butler;ID;0;66;M;1;American;4;13;3;;;;FORD MOTOR CO (Quoted);Consumer Goods;Textile - Apparel Footwear & Accessories
Kimberly A Casiano;ID;0;56;F;0;American;5;7;5;155;0,155;155;FORD MOTOR CO (Quoted);Consumer Goods;Textile - Apparel Footwear & Accessories
Anthony (Tony) Francis Earley Jr;ID;0;64;M;1;American;4;15;4;155;0,155;155;FORD MOTOR CO (Quoted);Consumer Goods;Textile - Apparel Footwear & Accessories
Edsel B Ford II;ID;0;65;M;1;American;4;9;4;155;0,155;155;FORD MOTOR CO (Quoted);Consumer Goods;Textile - Apparel Footwear & Accessories
The Hon. Richard A Gephardt;ID;0;73;M;1;American;5;12;8;155;0,155;155;FORD MOTOR CO (Quoted);Consumer Goods;Textile - Apparel Footwear & Accessories
James (Jim) Patrick Hackett;ID;0;59;M;1;American;6;17;5;;;;FORD MOTOR CO (Quoted);Consumer Goods;Textile - Apparel Footwear & Accessories
James Henry Hance Jr;ID;0;70;M;1;American;8;40;6;155;0,155;155;FORD MOTOR CO (Quoted);Consumer Goods;Textile - Apparel Footwear & Accessories
William (Bill) W Helman IV;ID;0;55;M;1;American;3;7;8;;;;FORD MOTOR CO (Quoted);Consumer Goods;Textile - Apparel Footwear & Accessories
Irvine O Hockaday Jr;ID;0;77;M;1;American;1;18;1;;;;FORD MOTOR CO (Quoted);Consumer Goods;Textile - Apparel Footwear & Accessories
Ambassador Jonathan (Jon) Meade Huntsman Jr;ID;0;53;M;1;American;6;6;4;155;0,155;155;FORD MOTOR CO (Quoted);Consumer Goods;Textile - Apparel Footwear & Accessories
Doctor John C Lechleiter;ID;0;60;M;1;;4;5;4;;;;FORD MOTOR CO (Quoted);Consumer Goods;Textile - Apparel Footwear & Accessories
Richard Alexander Manoogian;ID;0;77;M;1;American;2;6;3;155;0,155;155;FORD MOTOR CO (Quoted);Consumer Goods;Textile - Apparel Footwear & Accessories
Ellen Ruth Marram;ID;0;67;F;0;American;7;18;8;;;;FORD MOTOR CO (Quoted);Consumer Goods;Textile - Apparel Footwear & Accessories
Professor, Dr Homer Alfred Neal;ID;0;71;M;1;American;3;7;3;155;0,155;155;FORD MOTOR CO (Quoted);Consumer Goods;Textile - Apparel Footwear & Accessories
Gerald L Shaheen;ID;0;70;M;1;;5;12;3;155;0,155;155;FORD MOTOR CO (Quoted);Consumer Goods;Textile - Apparel Footwear & Accessories
Professor John Lawson Thornton;ID;0;60;M;1;American;7;29;5;;;;FORD MOTOR CO (Quoted);Consumer Goods;Textile - Apparel Footwear & Accessories
Michael (Mike) F Mahoney;ED;1;50;M;1;;0;0;1;5,498;5,498;5498;BOSTON SCIENTIFIC CORP (Quoted);Healthcare;Medical Appliances & Equipment
Katharine Tiffany Bartlett;ID;0;67;F;0;American;1;2;2;132;0,132;132;BOSTON SCIENTIFIC CORP (Quoted);Healthcare;Medical Appliances & Equipment
Bruce L Byrnes;ID;0;65;M;1;American;6;10;3;;;;BOSTON SCIENTIFIC CORP (Quoted);Healthcare;Medical Appliances & Equipment
Nelda J Connors;ID;0;48;F;0;;8;8;7;132;0,132;132;BOSTON SCIENTIFIC CORP (Quoted);Healthcare;Medical Appliances & Equipment
Doctor Kristina M Johnson;ID;0;57;F;0;American;6;17;5;;;;BOSTON SCIENTIFIC CORP (Quoted);Healthcare;Medical Appliances & Equipment
Edward (Ed) J Ludwig;ID;0;63;M;1;;6;9;5;;;;BOSTON SCIENTIFIC CORP (Quoted);Healthcare;Medical Appliances & Equipment
Doctor Ernest  Mario;ID;0;75;M;1;American;9;34;8;;;;BOSTON SCIENTIFIC CORP (Quoted);Healthcare;Medical Appliances & Equipment
Peter (Pete) M Nicholas;ID;0;72;M;1;American;0;1;2;215;0,215;215;BOSTON SCIENTIFIC CORP (Quoted);Healthcare;Medical Appliances & Equipment
Nicholas John Nicholas Jr;ID;0;74;M;1;American;3;15;3;144;0,144;144;BOSTON SCIENTIFIC CORP (Quoted);Healthcare;Medical Appliances & Equipment
Doctor Uwe Ernst Reinhardt;ID;0;76;M;1;American;4;14;7;;;;BOSTON SCIENTIFIC CORP (Quoted);Healthcare;Medical Appliances & Equipment
David (Dave) Jude Roux;ID;0;57;M;1;American;0;7;8;;;;BOSTON SCIENTIFIC CORP (Quoted);Healthcare;Medical Appliances & Equipment
The Hon. John Edward Sununu;ID;0;49;M;1;American;5;7;6;144;0,144;144;BOSTON SCIENTIFIC CORP (Quoted);Healthcare;Medical Appliances & Equipment
Doctor Leonard (Len) S Schleifer;ED;1;61;M;1;American;1;1;1;26,454;26,454;26454;REGENERON PHARMACEUTICALS INC (Quoted);Healthcare;Biotechnology
Doctor George D Yancopoulos;ED;1;55;M;1;American;1;1;1;71,385;71,385;71385;REGENERON PHARMACEUTICALS INC (Quoted);Healthcare;Biotechnology
Charles A Baker;ID;0;81;M;1;;2;7;1;1,367;1,367;1367;REGENERON PHARMACEUTICALS INC (Quoted);Healthcare;Biotechnology
Doctor Michael S Brown;ID;0;72;M;1;American;2;6;5;1,367;1,367;1367;REGENERON PHARMACEUTICALS INC (Quoted);Healthcare;Biotechnology
Doctor Alfred (Al) Goodman Gilman;ID;0;72;M;1;American;4;7;3;1,367;1,367;1367;REGENERON PHARMACEUTICALS INC (Quoted);Healthcare;Biotechnology
Doctor Joseph L Goldstein;ID;0;73;M;1;American;2;2;5;1,367;1,367;1367;REGENERON PHARMACEUTICALS INC (Quoted);Healthcare;Biotechnology
Christine (Chris) A Poon;ID;0;62;F;0;American;6;10;5;1,367;1,367;1367;REGENERON PHARMACEUTICALS INC (Quoted);Healthcare;Biotechnology
Arthur (Art) Frederick Ryan;ID;0;71;M;1;American;2;11;4;1,37;1,37;1370;REGENERON PHARMACEUTICALS INC (Quoted);Healthcare;Biotechnology
Doctor Eric M Shooter;ID;0;89;M;1;American;1;1;2;1,361;1,361;1361;REGENERON PHARMACEUTICALS INC (Quoted);Healthcare;Biotechnology
George L Sing;ID;0;64;M;1;American;2;3;3;1,37;1,37;1370;REGENERON PHARMACEUTICALS INC (Quoted);Healthcare;Biotechnology
Professor, Dr Marc Trevor Tessier-Lavigne;ID;0;54;M;1;Canadian;6;7;6;;;;REGENERON PHARMACEUTICALS INC (Quoted);Healthcare;Biotechnology
Doctor Pindaros Roy Vagelos;ID;0;84;M;1;American;1;7;1;;;;REGENERON PHARMACEUTICALS INC (Quoted);Healthcare;Biotechnology
Douglas M Baker Jr;ED;1;55;M;1;American;4;7;6;;;;ECOLAB INC (Quoted);Consumer Goods;Cleaning Products
Barbara J Beck;ID;0;54;F;0;American;2;4;2;;;;ECOLAB INC (Quoted);Consumer Goods;Cleaning Products
Leslie (Les) Stuart Biller;ID;0;66;M;1;American;4;10;8;182;0,182;182;ECOLAB INC (Quoted);Consumer Goods;Cleaning Products
Carl M Casale;ID;0;53;M;1;American;2;4;3;;;;ECOLAB INC (Quoted);Consumer Goods;Cleaning Products
Stephen (Steve) I Chazen;ID;0;67;M;1;American;0;4;2;;;;ECOLAB INC (Quoted);Consumer Goods;Cleaning Products
Jerry A Grundhofer;ID;0;70;M;1;American;3;15;4;182;0,182;182;ECOLAB INC (Quoted);Consumer Goods;Cleaning Products
Arthur J Higgins;ID;0;58;M;1;British;9;18;8;;;;ECOLAB INC (Quoted);Consumer Goods;Cleaning Products
Joel W Johnson;ID;0;71;M;1;;6;20;3;;;;ECOLAB INC (Quoted);Consumer Goods;Cleaning Products
Michael  Larson;ID;0;54;M;1;American;5;10;8;172;0,172;172;ECOLAB INC (Quoted);Consumer Goods;Cleaning Products
Jerry W Levin;ID;0;70;M;1;;5;16;5;;;;ECOLAB INC (Quoted);Consumer Goods;Cleaning Products
Robert (Bob) L Lumpkins;ID;0;70;M;1;;3;12;5;;;;ECOLAB INC (Quoted);Consumer Goods;Cleaning Products
Christopher Scott O'Hara;ID;0;53;M;1;;0;3;1;;;;ECOLAB INC (Quoted);Consumer Goods;Cleaning Products
Victoria (Vicky) J Reich;ID;0;56;F;0;;5;6;3;;;;ECOLAB INC (Quoted);Consumer Goods;Cleaning Products
Daniel (Dan) S Sanders;ID;0;75;M;1;;2;14;3;;;;ECOLAB INC (Quoted);Consumer Goods;Cleaning Products
Mary (Meg) Margaret VanDeWeghe;ID;0;55;F;0;;2;5;4;182;0,182;182;ECOLAB INC (Quoted);Consumer Goods;Cleaning Products
Major General Suzanne (Zan) M Vautrinot;ID;0;;F;0;;2;2;3;;;;ECOLAB INC (Quoted);Consumer Goods;Cleaning Products
John J Zillmer;ID;0;59;M;1;American;4;10;3;182;0,182;182;ECOLAB INC (Quoted);Consumer Goods;Cleaning Products
Martin S Craighead;ED;1;54;M;1;;1;1;2;7,75;7,75;7750;BAKER HUGHES INC (Quoted);Basic Materials;Oil & Gas Equipment & Services
Larry D Brady II;ID;0;71;M;1;American;2;9;2;201;0,201;201;BAKER HUGHES INC (Quoted);Basic Materials;Oil & Gas Equipment & Services
Clarence Peter Cazalot Jr;ID;0;63;M;1;American;6;8;3;199;0,199;199;BAKER HUGHES INC (Quoted);Basic Materials;Oil & Gas Equipment & Services
Lynn Laverty Elsenhans;ID;0;58;F;0;;6;12;2;130;0,13;130;BAKER HUGHES INC (Quoted);Basic Materials;Oil & Gas Equipment & Services
Anthony (Tony) G Fernandes;ID;0;69;M;1;American;6;15;4;199;0,199;199;BAKER HUGHES INC (Quoted);Basic Materials;Oil & Gas Equipment & Services
Claire Waterhouse Gargalli;ID;0;71;F;0;American;4;13;3;202;0,202;202;BAKER HUGHES INC (Quoted);Basic Materials;Oil & Gas Equipment & Services
Doctor Pierre Jean-Marie Jungels;ID;0;70;M;1;Belgian;6;20;3;196;0,196;196;BAKER HUGHES INC (Quoted);Basic Materials;Oil & Gas Equipment & Services
James Anson Lash;ID;0;69;M;1;American;2;4;4;205;0,205;205;BAKER HUGHES INC (Quoted);Basic Materials;Oil & Gas Equipment & Services
J Larry Nichols;ID;0;71;M;1;American;5;9;4;207;0,207;207;BAKER HUGHES INC (Quoted);Basic Materials;Oil & Gas Equipment & Services
James W Stewart;ID;0;70;M;1;American;3;3;1;195;0,195;195;BAKER HUGHES INC (Quoted);Basic Materials;Oil & Gas Equipment & Services
Charles (Chuck) L Watson;ID;0;65;M;1;American;3;8;8;196;0,196;196;BAKER HUGHES INC (Quoted);Basic Materials;Oil & Gas Equipment & Services
Beth E Mooney;ED;1;59;F;0;American;2;2;2;4,205;4,205;4205;KEYCORP (Quoted);Financial;Money Center Banks
Thomas (Tom) C Stevens;ED;1;65;M;1;American;0;3;0;;;;KEYCORP (Quoted);Financial;Money Center Banks
Edward (Ed) P Campbell;ID;0;64;M;1;American;2;12;1;100;0,1;100;KEYCORP (Quoted);Financial;Money Center Banks
Joseph (Joe) A Carrabba;ID;0;62;M;1;American;5;11;3;;;;KEYCORP (Quoted);Financial;Money Center Banks
Charles P Cooley;ID;0;59;M;1;American;5;7;2;;;;KEYCORP (Quoted);Financial;Money Center Banks
Alexander (Sandy) Macdonald Cutler;ID;0;62;M;1;American;6;14;3;106;0,106;106;KEYCORP (Quoted);Financial;Money Center Banks
H James Dallas;ID;0;55;M;1;American;2;5;1;;;;KEYCORP (Quoted);Financial;Money Center Banks
Elizabeth (Betsy) R Gile;ID;0;;F;0;;1;1;1;93;0,093;93;KEYCORP (Quoted);Financial;Money Center Banks
Ruth Ann Gillis;ID;0;60;F;0;American;2;8;3;104;0,104;104;KEYCORP (Quoted);Financial;Money Center Banks
William (Bill) G Gisel Jr;ID;0;61;M;1;;5;9;4;;;;KEYCORP (Quoted);Financial;Money Center Banks
Richard J Hipple;ID;0;62;M;1;American;3;5;3;70;0,07;70;KEYCORP (Quoted);Financial;Money Center Banks
Kristen (Kris) L Manos;ID;0;55;F;0;;2;4;2;89;0,089;89;KEYCORP (Quoted);Financial;Money Center Banks
Demos  Parneros;ID;0;51;M;1;Cypriot;1;1;2;;;;KEYCORP (Quoted);Financial;Money Center Banks
William (Bill) R Sanford;ID;0;70;M;1;American;1;11;8;;;;KEYCORP (Quoted);Financial;Money Center Banks
Barbara Rook Snyder;ID;0;58;F;0;American;2;3;6;83;0,083;83;KEYCORP (Quoted);Financial;Money Center Banks
Edward C Atwood;ED;1;79;M;1;;0;0;1;;;;CABLEVISION SYSTEMS CORP (Quoted);Services;CATV Systems
Charles (Chuck) Francis Dolan;ED;1;87;M;1;American;0;0;4;;;;CABLEVISION SYSTEMS CORP (Quoted);Services;CATV Systems
James (Jim) L Dolan;ED;1;58;M;1;American;1;1;3;;;;CABLEVISION SYSTEMS CORP (Quoted);Services;CATV Systems
Thomas C Dolan;ED;1;61;M;1;;0;0;3;;;;CABLEVISION SYSTEMS CORP (Quoted);Services;CATV Systems
Patrick F Dolan;ED;1;62;M;1;American;0;0;2;;;;CABLEVISION SYSTEMS CORP (Quoted);Services;CATV Systems
Kristin Aigner Dolan;ED;1;48;F;0;;0;0;3;;;;CABLEVISION SYSTEMS CORP (Quoted);Services;CATV Systems
Brian George Sweeney;ED;1;49;M;1;American;0;0;5;;;;CABLEVISION SYSTEMS CORP (Quoted);Services;CATV Systems
Rand Vincent Araskog;ID;0;82;M;1;American;0;21;2;134;0,134;134;CABLEVISION SYSTEMS CORP (Quoted);Services;CATV Systems
Frank J Biondi Jr;ID;0;69;M;1;American;9;26;7;;;;CABLEVISION SYSTEMS CORP (Quoted);Services;CATV Systems
Zachary W Carter;ID;0;64;M;1;American;0;5;3;;;;CABLEVISION SYSTEMS CORP (Quoted);Services;CATV Systems
Kathleen M Dolan;ID;0;51;F;0;;0;0;3;130;0,13;130;CABLEVISION SYSTEMS CORP (Quoted);Services;CATV Systems
Deborah A Dolan-Sweeney;ID;0;50;F;0;;0;0;2;;;;CABLEVISION SYSTEMS CORP (Quoted);Services;CATV Systems
Thomas V Reifenheiser;ID;0;78;M;1;American;4;13;2;155;0,155;155;CABLEVISION SYSTEMS CORP (Quoted);Services;CATV Systems
Vice Admiral John R Ryan;ID;0;68;M;1;American;4;7;3;177;0,177;177;CABLEVISION SYSTEMS CORP (Quoted);Services;CATV Systems
Vincent S Tese;ID;0;71;M;1;American;8;30;8;;;;CABLEVISION SYSTEMS CORP (Quoted);Services;CATV Systems
Doctor Leonard  Tow;ID;0;85;M;1;American;4;8;3;142;0,142;142;CABLEVISION SYSTEMS CORP (Quoted);Services;CATV Systems
Marianne Dolan Weber;ID;0;56;F;0;American;0;0;3;;;;CABLEVISION SYSTEMS CORP (Quoted);Services;CATV Systems
James (Jim) M Cracchiolo;ED;1;56;M;1;American;1;5;1;7,177;7,177;7177;AMERIPRISE FINANCIAL INC (Quoted);Financial;Asset Management
Dianne M Blixt;ID;0;55;F;0;American;2;10;2;;;;AMERIPRISE FINANCIAL INC (Quoted);Financial;Asset Management
Amy  DiGeso;ID;0;62;F;0;;0;0;2;;;;AMERIPRISE FINANCIAL INC (Quoted);Financial;Asset Management
Lon R Greenberg;ID;0;64;M;1;American;9;11;7;;;;AMERIPRISE FINANCIAL INC (Quoted);Financial;Asset Management
Warren Decatur Knowlton;ID;0;67;M;1;American;0;9;0;;;;AMERIPRISE FINANCIAL INC (Quoted);Financial;Asset Management
W Walker Lewis;ID;0;69;M;1;American;2;4;2;133;0,133;133;AMERIPRISE FINANCIAL INC (Quoted);Financial;Asset Management
Siri S Marshall;ID;0;65;F;0;American;7;8;5;142;0,142;142;AMERIPRISE FINANCIAL INC (Quoted);Financial;Asset Management
Jeffrey (Jeff)  Noddle;ID;0;68;M;1;American;5;15;3;;;;AMERIPRISE FINANCIAL INC (Quoted);Financial;Asset Management
Harvey Jay Sarles;ID;0;69;M;1;American;4;6;6;136;0,136;136;AMERIPRISE FINANCIAL INC (Quoted);Financial;Asset Management
Robert (Rob) Francis Sharpe Jr;ID;0;62;M;1;American;4;6;3;69;0,069;69;AMERIPRISE FINANCIAL INC (Quoted);Financial;Asset Management
William (Bill) H Turner III;ID;0;73;M;1;American;5;20;3;;;;AMERIPRISE FINANCIAL INC (Quoted);Financial;Asset Management
John (Bill) Willard Marriott Jr;ED;1;81;M;1;American;1;7;1;1,685;1,685;1685;MARRIOTT INTERNATIONAL INC (Quoted);Services;Lodging
Arne M Sorenson;ED;1;55;M;1;American;1;2;3;;;;MARRIOTT INTERNATIONAL INC (Quoted);Services;Lodging
The Hon. Mary K Bush;ID;0;66;F;0;;9;25;8;;;;MARRIOTT INTERNATIONAL INC (Quoted);Services;Lodging
Frederick (Fritz) A Henderson;ID;0;55;M;1;American;3;6;5;;;;MARRIOTT INTERNATIONAL INC (Quoted);Services;Lodging
Lawrence (Larry) W Kellner;ID;0;56;M;1;American;8;17;7;122;0,122;122;MARRIOTT INTERNATIONAL INC (Quoted);Services;Lodging
Debra L Lee;ID;0;58;F;0;American;7;20;6;;;;MARRIOTT INTERNATIONAL INC (Quoted);Services;Lodging
John Willard Marriott III;ID;0;53;M;1;American;1;1;4;136;0,136;136;MARRIOTT INTERNATIONAL INC (Quoted);Services;Lodging
George  Muñoz;ID;0;63;M;1;American;10;19;7;90;0,09;90;MARRIOTT INTERNATIONAL INC (Quoted);Services;Lodging
Harry Jonathan Pearce;ID;0;71;M;1;American;3;14;3;113;0,113;113;MARRIOTT INTERNATIONAL INC (Quoted);Services;Lodging
Steven (Steve) S Reinemund;ID;0;65;M;1;American;9;14;5;;;;MARRIOTT INTERNATIONAL INC (Quoted);Services;Lodging
Governor Willard (Mitt)  Romney;ID;0;67;M;1;American;1;6;2;4;4;4000;MARRIOTT INTERNATIONAL INC (Quoted);Services;Lodging
Lawrence M Small;ID;0;72;M;1;American;4;9;2;118;0,118;118;MARRIOTT INTERNATIONAL INC (Quoted);Services;Lodging
Randall J Hogan III;ED;1;58;M;1;;2;9;5;;;;PENTAIR LTD (Pentair Inc prior to 10/2012) (Quoted);Industrial Goods;Industrial Equipment & Components
Leslie R Abi-Karam;ID;0;55;F;0;;1;2;1;215;0,215;215;PENTAIR LTD (Pentair Inc prior to 10/2012) (Quoted);Industrial Goods;Industrial Equipment & Components
Glynis A Bryan;ID;0;56;F;0;;2;4;2;233;0,233;233;PENTAIR LTD (Pentair Inc prior to 10/2012) (Quoted);Industrial Goods;Industrial Equipment & Components
Jerry W Burris;ID;0;51;M;1;;2;3;1;226;0,226;226;PENTAIR LTD (Pentair Inc prior to 10/2012) (Quoted);Industrial Goods;Industrial Equipment & Components
Carol (John) Anthony Davidson;ID;0;59;M;1;;3;4;3;23;0,023;23;PENTAIR LTD (Pentair Inc prior to 10/2012) (Quoted);Industrial Goods;Industrial Equipment & Components
T (Mike) Michael Glenn;ID;0;59;M;1;American;3;7;5;;;;PENTAIR LTD (Pentair Inc prior to 10/2012) (Quoted);Industrial Goods;Industrial Equipment & Components
Charles A Haggerty;ID;0;73;M;1;;4;33;3;230;0,23;230;PENTAIR LTD (Pentair Inc prior to 10/2012) (Quoted);Industrial Goods;Industrial Equipment & Components
Hing-Yuen (David)  Ho;ID;0;55;M;1;;5;10;8;;;;PENTAIR LTD (Pentair Inc prior to 10/2012) (Quoted);Industrial Goods;Industrial Equipment & Components
David A Jones;ID;0;64;M;1;American;3;9;3;252;0,252;252;PENTAIR LTD (Pentair Inc prior to 10/2012) (Quoted);Industrial Goods;Industrial Equipment & Components
Ronald L Merriman;ID;0;69;M;1;;8;16;4;;;;PENTAIR LTD (Pentair Inc prior to 10/2012) (Quoted);Industrial Goods;Industrial Equipment & Components
William (Bill) T Monahan;ID;0;67;M;1;American;4;17;5;;;;PENTAIR LTD (Pentair Inc prior to 10/2012) (Quoted);Industrial Goods;Industrial Equipment & Components
David E Pyott;ED;1;60;M;1;American;3;12;4;;;;ALLERGAN INC (Quoted);Healthcare;Drug Manufacturers - Other
Doctor Herbert (Herb) Wayne Boyer;ID;0;77;M;1;American;0;11;4;;;;ALLERGAN INC (Quoted);Healthcare;Drug Manufacturers - Other
Doctor Deborah L Dunsire;ID;0;52;F;0;South African;2;3;2;;;;ALLERGAN INC (Quoted);Healthcare;Drug Manufacturers - Other
Michael (Mike) R Gallagher;ID;0;68;M;1;American;2;10;1;;;;ALLERGAN INC (Quoted);Healthcare;Drug Manufacturers - Other
